date_c,open_c,high_c,low_c,close_c
1590883200000.0,9697.72,9700.0,9381.41,9448.27
1590969600000.0,9448.27,10380.0,9421.67,10200.77
1591056000000.0,10202.71,10228.99,9266.0,9518.04
1591142400000.0,9518.02,9690.0,9365.21,9666.24
1591228800000.0,9666.32,9881.63,9450.0,9789.06
1591315200000.0,9788.14,9854.75,9581.0,9621.16
1591401600000.0,9621.17,9735.0,9531.05,9666.3
1591488000000.0,9666.85,9802.0,9372.46,9746.99
1591574400000.0,9746.99,9800.0,9633.0,9782.01
1591660800000.0,9782.0,9877.0,9570.0,9772.43
1591747200000.0,9772.44,9992.72,9704.18,9885.0
1591833600000.0,9885.22,9964.0,9113.0,9280.4
1591920000000.0,9278.88,9557.12,9232.51,9465.13
1592006400000.0,9464.96,9494.73,9351.0,9473.34
1592092800000.0,9473.34,9480.99,9245.0,9342.1
1592179200000.0,9342.1,9495.0,8910.45,9426.02
1592265600000.0,9426.05,9589.0,9373.09,9525.59
1592352000000.0,9526.97,9565.0,9236.61,9465.14
1592438400000.0,9465.13,9489.0,9280.0,9386.32
1592524800000.0,9386.32,9438.3,9215.79,9310.23
1592611200000.0,9310.23,9395.0,9170.95,9358.95
1592697600000.0,9358.95,9422.0,9281.54,9294.69
1592784000000.0,9294.69,9780.0,9277.09,9685.69
1592870400000.0,9685.69,9720.0,9577.03,9624.89
1592956800000.0,9624.33,9670.0,9208.0,9296.49
1593043200000.0,9298.33,9340.0,9009.69,9249.49
1593129600000.0,9249.49,9298.0,9045.45,9162.21
1593216000000.0,9162.21,9196.24,8833.0,9012.0
1593302400000.0,9012.0,9191.0,8948.06,9116.35
1593388800000.0,9116.16,9238.0,9024.67,9192.56
1593475200000.0,9192.93,9205.0,9064.89,9138.55
1593561600000.0,9138.08,9292.0,9080.1,9232.0
1593648000000.0,9231.99,9261.96,8940.0,9086.54
1593734400000.0,9086.54,9125.0,9037.47,9058.26
1593820800000.0,9057.79,9190.0,9040.04,9135.46
1593907200000.0,9135.0,9145.24,8893.03,9069.41
1593993600000.0,9069.41,9375.0,9055.92,9344.2
1594080000000.0,9342.47,9379.42,9203.0,9257.39
1594166400000.0,9257.4,9470.0,9231.0,9436.06
1594252800000.0,9436.06,9440.79,9160.0,9232.43
1594339200000.0,9232.42,9317.48,9125.0,9288.34
1594425600000.0,9288.34,9299.28,9178.25,9234.03
1594512000000.0,9234.02,9345.0,9157.5,9302.75
1594598400000.0,9303.31,9343.82,9200.89,9242.62
1594684800000.0,9242.61,9279.54,9113.0,9255.85
1594771200000.0,9255.85,9276.49,9160.57,9197.6
1594857600000.0,9197.6,9226.15,9047.25,9133.72
1594944000000.0,9133.72,9186.83,9089.81,9154.32
1595030400000.0,9154.31,9219.3,9121.1,9170.28
1595116800000.0,9170.3,9232.27,9101.35,9208.99
1595203200000.0,9208.99,9221.52,9131.0,9160.78
1595289600000.0,9160.78,9437.73,9152.8,9390.0
1595376000000.0,9390.0,9544.0,9261.0,9518.16
1595462400000.0,9518.16,9664.0,9440.33,9603.27
1595548800000.0,9603.27,9637.0,9463.44,9537.8
1595635200000.0,9538.1,9732.9,9513.0,9700.42
1595721600000.0,9700.42,10111.0,9650.0,9931.54
1595808000000.0,9931.54,11394.86,9917.21,11029.96
1595894400000.0,11029.96,11242.23,10565.0,10906.27
1595980800000.0,10906.27,11342.82,10812.0,11100.53
1596067200000.0,11100.52,11170.0,10831.0,11099.61
1596153600000.0,11099.79,11444.0,10960.0,11335.46
1596240000000.0,11335.46,11861.0,11220.0,11801.17
1596326400000.0,11801.17,12123.46,10518.5,11071.35
1596412800000.0,11071.36,11473.0,10936.0,11219.81
1596499200000.0,11219.68,11414.98,11000.0,11191.97
1596585600000.0,11191.99,11780.93,11093.0,11744.91
1596672000000.0,11744.91,11900.0,11562.5,11762.46
1596758400000.0,11762.47,11909.94,11322.0,11594.23
1596844800000.0,11594.36,11808.27,11512.0,11761.41
1596931200000.0,11761.02,11797.11,11521.97,11681.68
1597017600000.0,11681.69,12067.35,11450.0,11892.92
1597104000000.0,11892.9,11935.0,11125.0,11392.08
1597190400000.0,11392.09,11617.52,11150.0,11564.33
1597276800000.0,11564.34,11792.96,11270.36,11780.0
1597363200000.0,11779.77,11850.0,11634.03,11760.54
1597449600000.0,11760.55,11980.0,11680.0,11852.4
1597536000000.0,11852.4,11931.72,11686.0,11911.0
1597622400000.0,11910.99,12468.0,11769.78,12281.13
1597708800000.0,12281.15,12387.77,11817.93,11945.01
1597795200000.0,11945.1,12020.08,11561.0,11754.59
1597881600000.0,11754.38,11888.0,11668.0,11853.55
1597968000000.0,11853.54,11878.0,11485.81,11531.34
1598054400000.0,11531.23,11686.0,11376.81,11662.96
1598140800000.0,11663.51,11718.07,11514.13,11648.13
1598227200000.0,11648.12,11824.9,11585.09,11748.2
1598313600000.0,11748.19,11767.85,11117.64,11318.42
1598400000000.0,11318.42,11539.32,11244.0,11461.43
1598486400000.0,11461.42,11592.2,11125.0,11330.38
1598572800000.0,11330.38,11542.65,11276.89,11526.91
1598659200000.0,11526.9,11580.02,11417.04,11465.84
